2026-06-09 10:10:52.049842 [info] : [RPC-TIMING] id=0 CoreX.rpc.MathService.Add | deserialize:3us route:0us business:8us send:40us | total:51us
2026-06-09 10:10:52.049930 [info] : [RPC-TIMING] id=562949953421312 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:2us send:18us | total:22us
2026-06-09 10:10:52.049935 [info] : [RPC-TIMING] id=1 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.049977 [info] : [RPC-TIMING] id=2 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:5us | total:6us
2026-06-09 10:10:52.050111 [info] : [RPC-TIMING] id=562949953421313 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:5us | total:8us
2026-06-09 10:10:52.050171 [info] : [RPC-TIMING] id=562949953421314 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.050246 [info] : [RPC-TIMING] id=562949953421315 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:6us | total:9us
2026-06-09 10:10:52.050263 [info] : [RPC-TIMING] id=3 CoreX.rpc.MathService.Add | deserialize:2us route:0us business:1us send:11us | total:14us
2026-06-09 10:10:52.050437 [info] : [RPC-TIMING] id=562949953421316 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.050437 [info] : [RPC-TIMING] id=4 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:5us | total:8us
2026-06-09 10:10:52.050554 [info] : [RPC-TIMING] id=562949953421317 CoreX.rpc.MathService.Add | deserialize:1us route:1us business:1us send:9us | total:12us
2026-06-09 10:10:52.050628 [info] : [RPC-TIMING] id=5 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:1us send:5us | total:7us
2026-06-09 10:10:52.050629 [info] : [RPC-TIMING] id=562949953421318 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.050669 [info] : [RPC-TIMING] id=562949953421319 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:5us | total:6us
2026-06-09 10:10:52.050714 [info] : [RPC-TIMING] id=562949953421320 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:5us | total:6us
2026-06-09 10:10:52.050727 [info] : [RPC-TIMING] id=6 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.050836 [info] : [RPC-TIMING] id=562949953421321 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:5us | total:7us
2026-06-09 10:10:52.050882 [info] : [RPC-TIMING] id=562949953421322 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.050920 [info] : [RPC-TIMING] id=562949953421323 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.050958 [info] : [RPC-TIMING] id=562949953421324 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:4us | total:5us
2026-06-09 10:10:52.050998 [info] : [RPC-TIMING] id=562949953421325 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.051035 [info] : [RPC-TIMING] id=562949953421326 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.051074 [info] : [RPC-TIMING] id=562949953421327 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.051115 [info] : [RPC-TIMING] id=562949953421328 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.051153 [info] : [RPC-TIMING] id=562949953421329 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:4us | total:5us
2026-06-09 10:10:52.051194 [info] : [RPC-TIMING] id=562949953421330 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:7us | total:8us
2026-06-09 10:10:52.051232 [info] : [RPC-TIMING] id=562949953421331 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.051276 [info] : [RPC-TIMING] id=562949953421332 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.051322 [info] : [RPC-TIMING] id=562949953421333 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.051360 [info] : [RPC-TIMING] id=562949953421334 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:4us | total:5us
2026-06-09 10:10:52.051398 [info] : [RPC-TIMING] id=562949953421335 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.051456 [info] : [RPC-TIMING] id=562949953421336 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.051506 [info] : [RPC-TIMING] id=562949953421337 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:5us | total:6us
2026-06-09 10:10:52.051548 [info] : [RPC-TIMING] id=562949953421338 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.051587 [info] : [RPC-TIMING] id=562949953421339 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:0us send:5us | total:5us
2026-06-09 10:10:52.051625 [info] : [RPC-TIMING] id=562949953421340 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.051662 [info] : [RPC-TIMING] id=562949953421341 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:5us | total:6us
2026-06-09 10:10:52.051700 [info] : [RPC-TIMING] id=562949953421342 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.051737 [info] : [RPC-TIMING] id=562949953421343 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.051782 [info] : [RPC-TIMING] id=562949953421344 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.051822 [info] : [RPC-TIMING] id=562949953421345 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.051859 [info] : [RPC-TIMING] id=562949953421346 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.051897 [info] : [RPC-TIMING] id=562949953421347 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.051935 [info] : [RPC-TIMING] id=562949953421348 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.051974 [info] : [RPC-TIMING] id=562949953421349 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.052020 [info] : [RPC-TIMING] id=562949953421350 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:4us | total:5us
2026-06-09 10:10:52.052059 [info] : [RPC-TIMING] id=562949953421351 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052096 [info] : [RPC-TIMING] id=562949953421352 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.052134 [info] : [RPC-TIMING] id=562949953421353 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052190 [info] : [RPC-TIMING] id=562949953421354 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:7us | total:9us
2026-06-09 10:10:52.052231 [info] : [RPC-TIMING] id=562949953421355 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052309 [info] : [RPC-TIMING] id=562949953421356 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:5us | total:7us
2026-06-09 10:10:52.052353 [info] : [RPC-TIMING] id=562949953421357 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052391 [info] : [RPC-TIMING] id=562949953421358 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052428 [info] : [RPC-TIMING] id=562949953421359 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052472 [info] : [RPC-TIMING] id=562949953421360 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.052520 [info] : [RPC-TIMING] id=562949953421361 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.052560 [info] : [RPC-TIMING] id=562949953421362 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052598 [info] : [RPC-TIMING] id=562949953421363 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:4us | total:5us
2026-06-09 10:10:52.052636 [info] : [RPC-TIMING] id=562949953421364 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.052674 [info] : [RPC-TIMING] id=562949953421365 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052713 [info] : [RPC-TIMING] id=562949953421366 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052757 [info] : [RPC-TIMING] id=562949953421367 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:4us | total:5us
2026-06-09 10:10:52.052799 [info] : [RPC-TIMING] id=562949953421368 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.052844 [info] : [RPC-TIMING] id=562949953421369 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.052889 [info] : [RPC-TIMING] id=562949953421370 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.052975 [info] : [RPC-TIMING] id=562949953421371 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:4us | total:5us
2026-06-09 10:10:52.053010 [info] : [RPC-TIMING] id=7 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:5us | total:8us
2026-06-09 10:10:52.053057 [info] : [RPC-TIMING] id=8 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:5us | total:6us
2026-06-09 10:10:52.053095 [info] : [RPC-TIMING] id=9 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.053173 [info] : [RPC-TIMING] id=10 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:5us | total:7us
2026-06-09 10:10:52.053218 [info] : [RPC-TIMING] id=11 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:0us send:5us | total:6us
2026-06-09 10:10:52.053261 [info] : [RPC-TIMING] id=12 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:5us | total:6us
2026-06-09 10:10:52.053304 [info] : [RPC-TIMING] id=13 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:4us | total:6us
2026-06-09 10:10:52.053336 [info] : [RPC-TIMING] id=14 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:5us | total:6us
2026-06-09 10:10:52.053376 [info] : [RPC-TIMING] id=15 CoreX.rpc.MathService.Add | deserialize:0us route:1us business:0us send:4us | total:5us
