2026-06-11 22:05:10.426577 [info] : [RpcServer] IPC fast-path enabled on shm '/corex_rpc_ipc'
2026-06-11 22:05:10.528152 [info] : [RPC-TIMING] id=0 CoreX.rpc.MathService.Add | deserialize:6us route:1us business:13us send:4us | total:24us
2026-06-11 22:05:10.528559 [info] : [RPC-TIMING] id=1 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:5us send:3us | total:9us
2026-06-11 22:05:10.528680 [info] : [RPC-TIMING] id=2 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:3us | total:5us
2026-06-11 22:05:10.528765 [info] : [RPC-TIMING] id=3 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:10.528846 [info] : [RPC-TIMING] id=4 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:10.528933 [info] : [RPC-TIMING] id=5 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:2us | total:3us
2026-06-11 22:05:10.529022 [info] : [RPC-TIMING] id=6 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:1us | total:3us
2026-06-11 22:05:10.529143 [info] : [RPC-TIMING] id=7 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:2us | total:5us
2026-06-11 22:05:10.529314 [info] : [RPC-TIMING] id=8 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:1us send:2us | total:4us
2026-06-11 22:05:10.529405 [info] : [RPC-TIMING] id=9 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:1us send:2us | total:3us
2026-06-11 22:05:10.529534 [info] : [RPC-TIMING] id=10 CoreX.rpc.MathService.Add | deserialize:1us route:0us business:2us send:2us | total:5us
2026-06-11 22:05:10.529652 [info] : [RPC-TIMING] id=11 CoreX.rpc.MathService.Add | deserialize:0us route:0us business:2us send:2us | total:4us
